,Unnamed: 0,VaR_Hybrid_Final
2192,2016-12-22,-0.015897144352812
2193,2016-12-23,-0.0157018812489071
2194,2016-12-27,-0.0154886899802417
2195,2016-12-28,-0.015506528458328
2196,2016-12-29,-0.0200130035129992
2197,2016-12-30,-0.0192980902615911
2198,2017-01-03,-0.0206048658635248
2199,2017-01-04,-0.0198220501449361
2200,2017-01-05,-0.0192192454673895
2201,2017-01-06,-0.0188439937902843
2202,2017-01-09,-0.018697245149672
2203,2017-01-10,-0.0182962103852393
2204,2017-01-11,-0.0180338401848382
2205,2017-01-12,-0.0177209113276825
2206,2017-01-13,-0.0183236559421714
2207,2017-01-17,-0.0179882423869595
2208,2017-01-18,-0.0183600924081493
2209,2017-01-19,-0.0179925042998341
2210,2017-01-20,-0.0178034320560824
2211,2017-01-23,-0.0176260013440416
2212,2017-01-24,-0.0174988491645129
2213,2017-01-25,-0.0172477548424891
2214,2017-01-26,-0.0170440442094431
2215,2017-01-27,-0.0168731449731062
2216,2017-01-30,-0.0167285195229536
2217,2017-01-31,-0.0181553194737448
2218,2017-02-01,-0.0181561345209953
2219,2017-02-02,-0.0189338934932532
2220,2017-02-03,-0.0182203188877603
2221,2017-02-06,-0.0175863435220312
2222,2017-02-07,-0.017471918985712
2223,2017-02-08,-0.0171678264556942
2224,2017-02-09,-0.0169707436919821
2225,2017-02-10,-0.0167876905173519
2226,2017-02-13,-0.0166746484726534
2227,2017-02-14,-0.0169295742724062
2228,2017-02-15,-0.0168389439789942
2229,2017-02-16,-0.0167418301747433
2230,2017-02-17,-0.0168475363296141
2231,2017-02-21,-0.0166147203911739
2232,2017-02-22,-0.0165031666077282
2233,2017-02-23,-0.0168436609110426
2234,2017-02-24,-0.0193098243590281
2235,2017-02-27,-0.0184828707798035
2236,2017-02-28,-0.0179775171320201
2237,2017-03-01,-0.0182053625318302
2238,2017-03-02,-0.0179503681643791
2239,2017-03-03,-0.0207965119668809
2240,2017-03-06,-0.0195847281811199
2241,2017-03-07,-0.0193356528964612
2242,2017-03-08,-0.0189260931363949
2243,2017-03-09,-0.0189690740849673
2244,2017-03-10,-0.018506063599896
2245,2017-03-13,-0.0179964641726616
2246,2017-03-14,-0.0175152873383842
2247,2017-03-15,-0.0176560759298277
2248,2017-03-16,-0.017385393571323
2249,2017-03-17,-0.0171524864342172
2250,2017-03-20,-0.0169098325917158
2251,2017-03-21,-0.0167338685513972
2252,2017-03-22,-0.021669518527507
2253,2017-03-23,-0.0207420230352563
2254,2017-03-24,-0.0201547961258394
2255,2017-03-27,-0.0194783881426661
2256,2017-03-28,-0.018951977382998
2257,2017-03-29,-0.0185676304444991
2258,2017-03-30,-0.0182280618006414
2259,2017-03-31,-0.0179481469425316
2260,2017-04-03,-0.0179695171219816
2261,2017-04-04,-0.0177432925909624
2262,2017-04-05,-0.018338760318303
2263,2017-04-06,-0.0185656358886436
2264,2017-04-07,-0.0182200567882997
2265,2017-04-10,-0.0180260444066077
2266,2017-04-11,-0.0179525612631349
2267,2017-04-12,-0.0176842978164977
2268,2017-04-13,-0.0177071010723926
2269,2017-04-17,-0.0188791538350763
2270,2017-04-18,-0.018669824719498
2271,2017-04-19,-0.0183296857437399
2272,2017-04-20,-0.01842383111642
2273,2017-04-21,-0.0182459943309934
2274,2017-04-24,-0.0181959077987931
2275,2017-04-25,-0.0181018971872015
2276,2017-04-26,-0.017829701976092
2277,2017-04-27,-0.0177252786171169
2278,2017-04-28,-0.0175239924335481
2279,2017-05-01,-0.0175387909700407
2280,2017-05-02,-0.0174246412104163
2281,2017-05-03,-0.0177247043852078
2282,2017-05-04,-0.0174668667287028
