,GARCH11_VaR_99,GJR_GARCH_VaR_99,Copula_VaR_99,EVT_VaR_99
2008-10-17,-0.11230716813222276,-0.12574869174118208,-0.020777084902748173,-0.03135340984511445
2008-10-20,-0.10345847451221862,-0.11925726946831207,-0.020777084902748173,-0.03135340984511445
2008-10-21,-0.10125330861447837,-0.11062466977801426,-0.020777084902748173,-0.03135340984511445
2008-10-22,-0.0985249281057017,-0.11273040449118918,-0.020777084902748173,-0.03135340984511445
2008-10-23,-0.09778698356581261,-0.1165923103948207,-0.020777084902748173,-0.03135340984511445
2008-10-24,-0.08976875608909843,-0.10966079071203738,-0.020777084902748173,-0.03135340984511445
2008-10-27,-0.08610637103259403,-0.10737801355255057,-0.020777084902748173,-0.03135340984511445
2008-10-28,-0.08144939661128382,-0.10418512989347443,-0.020777084902748173,-0.03135340984511445
2008-10-29,-0.10872463777031971,-0.10572908837144979,-0.020777084902748173,-0.03135340984511445
2008-10-30,-0.10061489713877848,-0.09820299262863992,-0.020777084902748173,-0.03135340984511445
2008-10-31,-0.09587282714355935,-0.09245353126842389,-0.020777084902748173,-0.03135340984511445
2008-11-03,-0.0889203527328402,-0.08489453456646265,-0.020777084902748173,-0.03135340984511445
2008-11-04,-0.08195572567942103,-0.0767270209288121,-0.020777084902748173,-0.03135340984511445
2008-11-05,-0.08584598106398864,-0.07723996834451677,-0.020777084902748173,-0.03135340984511445
2008-11-06,-0.08923973217856801,-0.09250935523087105,-0.020777084902748173,-0.03135340984511445
2008-11-07,-0.09244392031909889,-0.10399374189880843,-0.020777084902748173,-0.03135340984511445
2008-11-10,-0.08943413405511241,-0.09920837926426622,-0.020777084902748173,-0.03135340984511445
2008-11-11,-0.08397185106857052,-0.09529940643146267,-0.020777084902748173,-0.03135340984511445
2008-11-12,-0.07979280257557196,-0.09313729967337843,-0.020777084902748173,-0.03135340984511445
2008-11-13,-0.08586441141468049,-0.10369259134763388,-0.020777084902748173,-0.03135340984511445
2008-11-14,-0.09186987298010812,-0.1009170652669879,-0.020777084902748173,-0.03135340984511445
2008-11-17,-0.09419011617236028,-0.108090560013016,-0.020777084902748173,-0.03135340984511445
2008-11-18,-0.0894988816745372,-0.10501646269442955,-0.020777084902748173,-0.03135340984511445
2008-11-19,-0.08391207127977511,-0.0992180069547991,-0.020777084902748173,-0.03135340984511445
2008-11-20,-0.09277141707733887,-0.11490743999934085,-0.020777084902748173,-0.03135340984511445
2008-11-21,-0.10307660063459595,-0.13199984547400848,-0.020777084902748173,-0.03135340984511445
2008-11-24,-0.10622543381872387,-0.12713911107336298,-0.020777084902748173,-0.03135340984511445
2008-11-25,-0.11509291868576729,-0.12200680117744474,-0.020777084902748173,-0.03135340984511445
2008-11-26,-0.10847881019170837,-0.11723412117217712,-0.020777084902748173,-0.03135340984511445
2008-11-28,-0.10725347885817642,-0.11177062895986654,-0.020777084902748173,-0.03135340984511445
2008-12-01,-0.1009870524976726,-0.10729901347390437,-0.020777084902748173,-0.03135340984511445
2008-12-02,-0.11430377500129332,-0.1339072901573014,-0.020777084902748173,-0.03135340984511445
2008-12-03,-0.11417886664479479,-0.1284872067612269,-0.020777084902748173,-0.03135340984511445
2008-12-04,-0.10959795521983015,-0.12300053938016074,-0.020777084902748173,-0.03135340984511445
2008-12-05,-0.10588731571625551,-0.12102453009326462,-0.020777084902748173,-0.03135340984511445
2008-12-08,-0.10242401490422197,-0.11586007230653869,-0.020777084902748173,-0.03135340984511445
2008-12-09,-0.100592235047662,-0.11057986465406937,-0.020777084902748173,-0.03135340984511445
2008-12-10,-0.09464436846113933,-0.10536065534423567,-0.020777084902748173,-0.03135340984511445
2008-12-11,-0.09073692252862002,-0.10269194551365868,-0.020777084902748173,-0.03135340984511445
2008-12-12,-0.09037158250132882,-0.1046705337202427,-0.020777084902748173,-0.03135340984511445
2008-12-15,-0.08553702426432282,-0.09946488109599659,-0.020777084902748173,-0.03135340984511445
2008-12-16,-0.0811912352520069,-0.09527326384623062,-0.020777084902748173,-0.03135340984511445
2008-12-17,-0.08662537122435561,-0.09521936950886559,-0.020777084902748173,-0.03135340984511445
2008-12-18,-0.08083155605227108,-0.08861749444458081,-0.020777084902748173,-0.03135340984511445
2008-12-19,-0.0778442529118993,-0.08709556394683772,-0.020777084902748173,-0.03135340984511445
2008-12-22,-0.07212646533529318,-0.08080031729324631,-0.020777084902748173,-0.03135340984511445
2008-12-23,-0.06912071501896422,-0.07740047049567289,-0.020777084902748173,-0.03135340984511445
2008-12-24,-0.06335462558875639,-0.07107863650898182,-0.020777084902748173,-0.03135340984511445
2008-12-26,-0.05714022677802601,-0.06446431910734514,-0.020777084902748173,-0.03135340984511445
2008-12-29,-0.05182925916811284,-0.05908052995892891,-0.020777084902748173,-0.03135340984511445
2008-12-30,-0.04615507681719227,-0.0529156214148791,-0.020777084902748173,-0.03135340984511445
2008-12-31,-0.04438798362437064,-0.04888882567823929,-0.020777084902748173,-0.03135340984511445
2009-01-02,-0.040696540720742934,-0.04413178561149106,-0.020777084902748173,-0.03135340984511445
2009-01-05,-0.048251469082422546,-0.04482813621404295,-0.020777084902748173,-0.03135340984511445
2009-01-06,-0.04468823184437716,-0.04146202915234709,-0.020777084902748173,-0.03135340984511445
2009-01-07,-0.04235659956492245,-0.03871760771269424,-0.020777084902748173,-0.03135340984511445
2009-01-08,-0.05067100831768498,-0.05615025859799185,-0.020777084902748173,-0.03135340984511445
2009-01-09,-0.04732656742457235,-0.05312806578267845,-0.020777084902748173,-0.03135340984511445
2009-01-12,-0.047180686574494986,-0.054164467123572715,-0.020777084902748173,-0.03135340984511445
2009-01-13,-0.04776050020152858,-0.05615506678221252,-0.020777084902748173,-0.03135340984511445
2009-01-14,-0.04490089952264004,-0.05327319300494695,-0.020777084902748173,-0.03135340984511445
2009-01-15,-0.04760964714607075,-0.05793971643902032,-0.020777084902748173,-0.03135340984511445
2009-01-16,-0.04470842940734412,-0.05536242484420754,-0.020777084902748173,-0.03135340984511445
2009-01-20,-0.0422777473252082,-0.053130143050622546,-0.020777084902748173,-0.03135340984511445
2009-01-21,-0.07176623730873377,-0.08706063612991567,-0.020777084902748173,-0.03135340984511445
2009-01-22,-0.08074529158525,-0.08317466518717907,-0.020777084902748173,-0.03135340984511445
2009-01-23,-0.07545097006902515,-0.07957381883672154,-0.020777084902748173,-0.03135340984511445
2009-01-26,-0.07040929512222424,-0.07569674916495327,-0.020777084902748173,-0.03135340984511445
2009-01-27,-0.06717860408771294,-0.07196750658386242,-0.020777084902748173,-0.03135340984511445
2009-01-28,-0.06519524393777756,-0.06863032386123623,-0.020777084902748173,-0.03135340984511445
2009-01-29,-0.06758246159459531,-0.06560252297184695,-0.020777084902748173,-0.03135340984511445
2009-01-30,-0.06998413066631565,-0.0719089402963347,-0.020777084902748173,-0.03135340984511445
2009-02-02,-0.0670642276486192,-0.07037456957566621,-0.020777084902748173,-0.03135340984511445
2009-02-03,-0.06301174424474389,-0.06702057513135284,-0.020777084902748173,-0.03135340984511445
2009-02-04,-0.05925570934375295,-0.06383619460758656,-0.020777084902748173,-0.03135340984511445
2009-02-05,-0.055942055517006636,-0.06056613834333674,-0.020777084902748173,-0.03135340984511445
2009-02-06,-0.05488218168178924,-0.057734069969274306,-0.020777084902748173,-0.03135340984511445
2009-02-09,-0.05932552719942019,-0.05551414041232573,-0.020777084902748173,-0.03135340984511445
2009-02-10,-0.0568378677772431,-0.05286356905229618,-0.020777084902748173,-0.03135340984511445
2009-02-11,-0.0628000932178517,-0.06460156987978846,-0.020777084902748173,-0.03135340984511445
2009-02-12,-0.05908934378452119,-0.061655541673906265,-0.020777084902748173,-0.03135340984511445
2009-02-13,-0.05573203582546245,-0.05884802515725895,-0.020777084902748173,-0.03135340984511445
2009-02-17,-0.05385376774110859,-0.05700860306826572,-0.020777084902748173,-0.03135340984511445
2009-02-18,-0.06280413473899778,-0.07113177133112439,-0.020777084902748173,-0.03135340984511445
2009-02-19,-0.05887696037305233,-0.06758606252984875,-0.020777084902748173,-0.03135340984511445
2009-02-20,-0.059712952991244996,-0.0701160597051542,-0.020777084902748173,-0.03135340984511445
2009-02-23,-0.056661274256853765,-0.06732244743231855,-0.020777084902748173,-0.03135340984511445
2009-02-24,-0.06001486285009186,-0.07288277345581232,-0.020777084902748173,-0.03135340984511445
2009-02-25,-0.06252628151114788,-0.06952479607224794,-0.020777084902748173,-0.03135340984511445
2009-02-26,-0.05872639728948363,-0.06628444381966912,-0.020777084902748173,-0.03135340984511445
2009-02-27,-0.055340098949271374,-0.06308348591633658,-0.020777084902748173,-0.03135340984511445
2009-03-02,-0.05375790028221437,-0.061983727698127565,-0.020777084902748173,-0.03135340984511445
2009-03-03,-0.06360302138425923,-0.07693419896252604,-0.020777084902748173,-0.03135340984511445
2009-03-04,-0.05995052616953298,-0.07288252172044243,-0.020777084902748173,-0.03135340984511445
2009-03-05,-0.056852442148370125,-0.06908917029640657,-0.020777084902748173,-0.03135340984511445
2009-03-06,-0.06045954469195755,-0.07432115922647936,-0.020777084902748173,-0.03135340984511445
2009-03-09,-0.0571467564691341,-0.07124677517378833,-0.020777084902748173,-0.03135340984511445
2009-03-10,-0.05406739385494974,-0.0676949369546399,-0.020777084902748173,-0.03135340984511445
2009-03-11,-0.08137470314391772,-0.06546019367732914,-0.020777084902748173,-0.03135340984511445
2009-03-12,-0.07736934254220518,-0.06312461146026985,-0.020777084902748173,-0.03135340984511445
2009-03-13,-0.08347568994756602,-0.06025687369880113,-0.020777084902748173,-0.03135340984511445
2009-03-16,-0.07821249817546529,-0.05708922264912429,-0.020777084902748173,-0.03135340984511445
2009-03-17,-0.07404265692106556,-0.056174114328874085,-0.020777084902748173,-0.03135340984511445
2009-03-18,-0.0751414078151754,-0.05323459324302756,-0.020777084902748173,-0.03135340984511445
2009-03-19,-0.07511238577379009,-0.05211915970592249,-0.020777084902748173,-0.03135340984511445
2009-03-20,-0.07202861082118749,-0.050959102381136726,-0.020777084902748173,-0.03135340984511445
2009-03-23,-0.0726039257877382,-0.055846542132912715,-0.020777084902748173,-0.03135340984511445
2009-03-24,-0.08943708392293934,-0.05408727331928048,-0.020777084902748173,-0.03135340984511445
2009-03-25,-0.08599095541655565,-0.055521187612118106,-0.020777084902748173,-0.03135340984511445
2009-03-26,-0.08173882636469527,-0.053414826363537324,-0.020777084902748173,-0.03135340984511445
2009-03-27,-0.08141629036174033,-0.05161320659716069,-0.020777084902748173,-0.03135340984511445
2009-03-30,-0.07847614178059162,-0.053429135022315014,-0.020777084902748173,-0.03135340984511445
2009-03-31,-0.08138511327426202,-0.06894698710882952,-0.020777084902748173,-0.03135340984511445
2009-04-01,-0.08754149970490274,-0.06730886653368512,-0.020777084902748173,-0.03135340984511445
2009-04-02,-0.08562813423142214,-0.06522434382554125,-0.020777084902748173,-0.03135340984511445
2009-04-03,-0.08224928853276056,-0.06310099335620412,-0.020777084902748173,-0.03135340984511445
2009-04-06,-0.07778424628055501,-0.06052945860591055,-0.020777084902748173,-0.03135340984511445
2009-04-07,-0.07289129794681198,-0.056300788094104846,-0.020777084902748173,-0.03135340984511445
2009-04-08,-0.06970027789250369,-0.05605879099569039,-0.020777084902748173,-0.03135340984511445
2009-04-09,-0.06520312606292665,-0.05222123677866115,-0.020777084902748173,-0.03135340984511445
2009-04-13,-0.07055087358966765,-0.05163767987868312,-0.020777084902748173,-0.03135340984511445
2009-04-14,-0.06326822836687193,-0.04345391850814903,-0.020777084902748173,-0.03135340984511445
2009-04-15,-0.061966357851266515,-0.044467868095425585,-0.020777084902748173,-0.03135340984511445
2009-04-16,-0.0592692688699835,-0.04230218733603002,-0.020777084902748173,-0.03135340984511445
2009-04-17,-0.05818303106094996,-0.04145149217420018,-0.020777084902748173,-0.03135340984511445
2009-04-20,-0.05560857258304592,-0.039451244496584166,-0.020777084902748173,-0.03135340984511445
2009-04-21,-0.060658134454994024,-0.05145783974620797,-0.020777084902748173,-0.03135340984511445
2009-04-22,-0.05963013963221824,-0.04969866932460319,-0.020777084902748173,-0.03135340984511445
2009-04-23,-0.056884129835516405,-0.04758229856549717,-0.020777084902748173,-0.03135340984511445
2009-04-24,-0.054958542658452784,-0.04583659907799788,-0.020777084902748173,-0.03135340984511445
2009-04-27,-0.054515043224865944,-0.04443830745098211,-0.020777084902748173,-0.03135340984511445
2009-04-28,-0.052505101753939895,-0.043204227582496244,-0.020777084902748173,-0.03135340984511445
2009-04-29,-0.05029710510981578,-0.04183115054054591,-0.020777084902748173,-0.03135340984511445
2009-04-30,-0.04924109169580408,-0.04048412042400121,-0.020777084902748173,-0.03135340984511445
2009-05-01,-0.04692139738114219,-0.03895826195889576,-0.020777084902748173,-0.03135340984511445
2009-05-04,-0.04475515331345948,-0.03763178641906302,-0.020777084902748173,-0.03135340984511445
2009-05-05,-0.04917391069265232,-0.03738734526552581,-0.020777084902748173,-0.03135340984511445
2009-05-06,-0.04729391778587496,-0.03638822886030977,-0.020777084902748173,-0.03135340984511445
2009-05-07,-0.0468939108949105,-0.03545155245209492,-0.020777084902748173,-0.03135340984511445
2009-05-08,-0.04766447189746478,-0.03888238542723284,-0.020777084902748173,-0.03135340984511445
2009-05-11,-0.045914077436812875,-0.03751693152043628,-0.020777084902748173,-0.03135340984511445
2009-05-12,-0.044618422806392034,-0.03710399717690049,-0.020777084902748173,-0.03135340984511445
