Date,Hist,Param,GJR,EVT,Hybrid
2016-07-06,-0.078426741342897,-0.07325167175404018,-0.05029355004206884,-0.0997681932088107,-0.0637591798576791
2016-07-07,-0.0784725740876354,-0.07326158795025917,-0.050686538175665735,-0.0997681932088107,-0.0639845552649746
2016-07-08,-0.07851840683237385,-0.0742687304515178,-0.05101379806303565,-0.0997681932088107,-0.0641722227924979
2016-07-11,-0.07856423957711227,-0.07427757406972024,-0.051300355567506506,-0.0997681932088107,-0.0643365521689915
2016-07-12,-0.07861007232185072,-0.07429164685094483,-0.05153594839413954,-0.0997681932088107,-0.06447165482571177
2016-07-13,-0.07865590506658912,-0.07430529084889909,-0.051718982495825086,-0.0997681932088107,-0.06457661496604375
2016-07-14,-0.07870173781132757,-0.07430838459388422,-0.05187152358004552,-0.0997681932088107,-0.0646640884781615
2016-07-15,-0.078747570556066,-0.07432099895749797,-0.051995534363362184,-0.0997681932088107,-0.06473519614319015
2016-07-18,-0.07879340330080443,-0.0743291411858942,-0.05212424321739338,-0.0997681932088107,-0.0648090007149422
2016-07-19,-0.07883923604554285,-0.07434397859064448,-0.052181750457540026,-0.0997681932088107,-0.06484196798331714
2016-07-20,-0.0788850687902813,-0.07434246705384491,-0.05204442975227414,-0.0997681932088107,-0.06476319518778209
2016-07-21,-0.07893090153501973,-0.07434317052138711,-0.051919660341552605,-0.0997681932088107,-0.06469161369241257
2016-07-22,-0.07897673427975815,-0.07433935133207537,-0.05188486183526382,-0.0997681932088107,-0.06467163805966887
2016-07-25,-0.07902256702449659,-0.07434443819188677,-0.05184292323159974,-0.0997681932088107,-0.06464756509783359
2016-07-26,-0.07906839976923502,-0.07435076363103837,-0.051658871039837746,-0.0997681932088107,-0.06454199573941166
2016-07-27,-0.07911423251397344,-0.07435334008366576,-0.051466451690581005,-0.0997681932088107,-0.06443163584553782
2016-07-28,-0.07916006525871187,-0.07437209876699707,-0.051293305739049104,-0.0997681932088107,-0.06433233215980536
2016-07-29,-0.0792058980034503,-0.07438739134090687,-0.051040700011907136,-0.0997681932088107,-0.06418745673537027
2016-08-01,-0.07925173074818874,-0.07439740243112992,-0.050684794525322284,-0.0997681932088107,-0.06398333440638636
2016-08-02,-0.07929756349292717,-0.07440242738373667,-0.05043680922679285,-0.0997681932088107,-0.06384110742663057
2016-08-03,-0.07934339623766562,-0.0743954688002657,-0.050320458555463625,-0.0997681932088107,-0.06377437725913745
2016-08-04,-0.07938922898240404,-0.07439033464292107,-0.050162828415878574,-0.0997681932088107,-0.06368397291860534
2016-08-05,-0.07943506172714247,-0.07437781036027687,-0.050008443789386695,-0.0997681932088107,-0.06359542920760805
2016-08-08,-0.07948089447188089,-0.07437574736478317,-0.049851876129093114,-0.0997681932088107,-0.06350563369240265
2016-08-09,-0.07952672721661934,-0.0743839881451478,-0.049660372355479016,-0.0997681932088107,-0.06339580134170586
2016-08-10,-0.07957255996135774,-0.07441129912818328,-0.04947071221514919,-0.0997681932088107,-0.0632870271921098
