,Date,HistVaR_99,ParamVaR_T_99,GJR_GARCH_VaR_99,EVT_VaR_99,VaR_Hybrid_Final
802,2011-06-16,-0.0205232505524928,-0.0189933803320173,-0.0202298459117081,-0.0313534098451144,-0.024123021326861
803,2011-06-17,-0.0205232505524928,-0.0315290447710237,-0.0194026279894261,-0.0313534098451144,-0.0235853639562498
804,2011-06-20,-0.0205232505524928,-0.0191118106578497,-0.0184372062716996,-0.0313534098451144,-0.0229578412842144
805,2011-06-21,-0.0205232505524928,-0.0190813152973279,-0.0180096193000119,-0.0313534098451144,-0.0226798436514877
806,2011-06-22,-0.0205232505524928,-0.0190645101338468,-0.0180883805963554,-0.0313534098451144,-0.0227309874111678
807,2011-06-23,-0.0205232505524928,-0.0188999833519259,-0.0178518727295874,-0.0313534098451144,-0.0225771729974006
808,2011-06-24,-0.0205232505524928,-0.0189949403353426,-0.0179292092849609,-0.0313534098451144,-0.0226266100344054
809,2011-06-27,-0.0205232505524928,-0.0189277130381535,-0.0185117291185606,-0.0313534098451144,-0.0230060489734853
810,2011-06-28,-0.0183408614986906,-0.0179272641979453,-0.0181198670267037,-0.0313534098451144,-0.0227514880846574
811,2011-06-29,-0.0183408614986906,-0.0178963401277693,-0.0182408937529872,-0.0313534098451144,-0.0228302034810437
812,2011-06-30,-0.0183408614986906,-0.0178353008912134,-0.0180330045348608,-0.0313534098451144,-0.0226950863089333
813,2011-07-01,-0.0183408614986906,-0.0177486704858875,-0.0178091491017348,-0.0313534098451144,-0.0225495879151628
814,2011-07-05,-0.0183408614986906,-0.0177961015276223,-0.0175422177605951,-0.0313534098451144,-0.0223760950589866
815,2011-07-06,-0.0183408614986906,-0.0171090805115597,-0.0173238346093178,-0.0313534098451144,-0.0222341491113651
816,2011-07-07,-0.0183408614986906,-0.0170115292884347,-0.0167618026932721,-0.0313534098451144,-0.0218688075994528
817,2011-07-08,-0.0183408614986906,-0.0170465334179397,-0.0168316089668036,-0.0313534098451144,-0.0219140918874237
818,2011-07-11,-0.0183408614986906,-0.0171221888045828,-0.0168220972692593,-0.0313534098451144,-0.0219074347169092
819,2011-07-12,-0.0183408614986906,-0.017205379953923,-0.0180291353256742,-0.0313534098451144,-0.0226924348430713
820,2011-07-13,-0.0183408614986906,-0.0171844097515093,-0.0179282349015912,-0.0313534098451144,-0.0226269774839682
821,2011-07-14,-0.0183408614986906,-0.0171611150303266,-0.0175045488225394,-0.0313534098451144,-0.0223515546187738
822,2011-07-15,-0.017154898747832,-0.016387500137624,-0.0172853282001464,-0.0313534098451144,-0.0222091057803136
823,2011-07-18,-0.017154898747832,-0.0164209130621748,-0.0170624548244142,-0.0313534098451144,-0.0220642273578726
824,2011-07-19,-0.017154898747832,-0.0164439088156118,-0.016952388512879,-0.0313534098451144,-0.0219926162477337
825,2011-07-20,-0.017154898747832,-0.0164623188434926,-0.0167355427067452,-0.0313534098451144,-0.0218517231683863
826,2011-07-21,-0.017154898747832,-0.0163577040515353,-0.0165528123530449,-0.0313534098451144,-0.0217329161007859
827,2011-07-22,-0.017154898747832,-0.0163113236658036,-0.0164187440322887,-0.0313534098451144,-0.02164569377268
828,2011-07-25,-0.017154898747832,-0.0163806202551006,-0.0163019619534124,-0.0313534098451144,-0.0215691423974231
829,2011-07-26,-0.017154898747832,-0.0163721106785093,-0.0162407536852554,-0.0313534098451144,-0.0215260779926373
830,2011-07-27,-0.0174657604576734,-0.0167064345393526,-0.0162531264945526,-0.0313534098451144,-0.0215199010243095
831,2011-07-28,-0.0174657604576734,-0.0167121642532671,-0.019037416972155,-0.0313534098451144,-0.0233355635097839
832,2011-07-29,-0.0174657604576734,-0.0167107493995328,-0.018542658195749,-0.0313534098451144,-0.0230111437360179
833,2011-08-01,-0.0174657604576734,-0.01671447469956,-0.0181984770952695,-0.0313534098451144,-0.0227746658944325
834,2011-08-02,-0.0174657604576734,-0.0167806344398881,-0.017960707926279,-0.0313534098451144,-0.0225124186350622
835,2011-08-03,-0.0174657604576734,-0.0167862078809807,-0.018806346479909,-0.0313534098451144,-0.0229765333647445
836,2011-08-04,-0.0183408614986906,-0.0184039649815391,-0.0183742993978794,-0.0313534098451144,-0.0197423402916248
