Date,HistVaR_95,HistVaR_99,HistES_97.5,ParamVaR_Norm_95,ParamVaR_Norm_99,ParamES_Norm_97.5,ParamVaR_T_95,ParamVaR_T_99,ParamES_T_97.5,MCVaR_95,MCVaR_99,MC_ES_97.5
2023-01-26,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.021660095398777852,-0.030599230751215005,-0.030749484497781147,-0.021380927094848387,-0.03158497010433534,-0.03199193102794926,-0.02146594782091983,-0.030331516640419103,-0.030497940596600416
2023-01-27,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.02164866239797903,-0.030590139200559346,-0.030740432303466177,-0.02136855115634965,-0.031564579848684826,-0.03196918738962502,-0.021623463811147017,-0.030242504526753835,-0.030593376254764666
2023-01-30,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.021775041441731882,-0.030745619637109062,-0.030896401891720795,-0.021517586551159824,-0.03163843958295729,-0.032019645803410685,-0.021655697143196397,-0.030394094762060175,-0.03073881934330708
2023-01-31,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.02174807422129608,-0.03069199817701349,-0.030842332412973215,-0.021475390331810083,-0.03163285014054842,-0.03202810402844139,-0.021708875549490244,-0.030782274210075764,-0.03086412428356101
2023-02-01,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.021738006231740308,-0.03067274596752989,-0.030822925830231013,-0.021459851595695727,-0.03162923741280564,-0.03202922753162292,-0.021576087454767044,-0.03047001001218823,-0.030654414010488178
2023-02-02,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.021743974219992492,-0.030688556129746823,-0.03083890142494832,-0.021472220808272203,-0.03161694623058139,-0.03200916902167975,-0.02153716275146875,-0.03065006947843916,-0.030670864599570587
2023-02-03,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.02181097070608837,-0.030759977873727206,-0.030910397551019417,-0.021552908351155815,-0.031673260451597726,-0.03205901109635461,-0.021748443273136325,-0.030621831056046944,-0.030877379463682634
2023-02-06,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.021679123252443054,-0.030597253832163013,-0.03074715451932552,-0.021398826206891857,-0.031593419532292395,-0.03200289005470539,-0.021574972379284678,-0.030433758320092676,-0.030545943878089885
2023-02-07,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.021691491277004236,-0.03062888203557747,-0.030779106458081053,-0.021422989275454805,-0.031573109506929826,-0.031968144811839204,-0.021642961748073855,-0.030260508059074532,-0.030399685531299757
2023-02-08,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.021723549820707965,-0.03066332107597202,-0.030813585511131458,-0.02146234435659758,-0.03159862238401585,-0.03198999608518559,-0.02153694518568035,-0.03047108111642965,-0.030880533423672862
2023-02-09,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.021781756672814942,-0.030725500568155276,-0.030875831777564307,-0.021532453949800204,-0.03164765040142864,-0.03203339321285679,-0.021703047815226292,-0.03062730286059299,-0.030757570059081796
2023-02-10,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.021797544915757555,-0.030725079059314472,-0.030875137806584792,-0.021543054078342734,-0.03170519830565742,-0.032105127892142156,-0.02179444329844245,-0.030679917588521635,-0.0309167263333815
2023-02-13,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.021676362850599037,-0.030595239488001955,-0.030745152715299227,-0.021404248172827413,-0.031595137397565976,-0.032003596347297374,-0.02157814901011619,-0.03028024436631404,-0.03057353877315601
2023-02-14,-0.02047528472978288,-0.03322693875039731,-0.033022646981141976,-0.021580065533782753,-0.030488416388254874,-0.030638152692588287,-0.021288056752949584,-0.031522678547655406,-0.03194363577247901,-0.021502492107280058,-0.03054023290085565,-0.030625157181838
