,Historical_ES,Parametric_T_ES,GJR_ES,EVT_ES_Static,Hybrid_HMM_ES
2013-05-14,-0.017579505590877557,-0.017019168768714232,-0.01635511125958141,-0.03325606440293696,-0.022270345017540827
2013-05-15,-0.017579505590877557,-0.01701953009202007,-0.015778149568317655,-0.03325606440293696,-0.021895389853347595
2013-05-16,-0.017579505590877557,-0.01697286013578371,-0.015173779966969047,-0.03325606440293696,-0.021502557497061613
2013-05-17,-0.017579505590877557,-0.016900790459905553,-0.014539980362163555,-0.03325606440293696,-0.021090593847218255
2013-05-20,-0.017579505590877557,-0.016842777295074288,-0.014267357632378705,-0.03325606440293696,-0.020913391485487338
2013-05-21,-0.017579505590877557,-0.016837855892899926,-0.014003058017287861,-0.03325606440293696,-0.020741597609388276
2013-05-22,-0.017579505590877557,-0.016833667298360586,-0.013578399246728965,-0.03325606440293696,-0.020465556539453398
2013-05-23,-0.017579505590877557,-0.016882586065796047,-0.015963362260339387,-0.03325606440293696,-0.022015795402729035
2013-05-24,-0.017579505590877557,-0.016887955207878894,-0.015374404881732313,-0.03325606440293696,-0.02163297416923568
2013-05-28,-0.017579505590877557,-0.01691051546834515,-0.014866650171887194,-0.03325606440293696,-0.021302934202089622
2013-05-29,-0.017579505590877557,-0.016931645382922016,-0.01430263297449699,-0.03325606440293696,-0.020936322151680613
2013-05-30,-0.017579505590877557,-0.01685760338382305,-0.013835990754244536,-0.03325606440293696,-0.020633001702936703
2013-05-31,-0.017579505590877557,-0.03441393924367261,-0.013418755414977283,-0.03325606440293696,-0.020361743021537315
2013-06-03,-0.017579505590877557,-0.01694668466756629,-0.018950060085586688,-0.03325606440293696,-0.023957148831830654
2013-06-04,-0.017579505590877557,-0.016922694740633924,-0.018011576797982817,-0.03325606440293696,-0.023347130088346674
2013-06-05,-0.0170494624000563,-0.01664159218091123,-0.018419298220959505,-0.03325606440293696,-0.023612132117675856
2013-06-06,-0.0170494624000563,-0.016641260473987552,-0.020760283081015758,-0.03325606440293696,-0.025133796711564866
2013-06-07,-0.0170494624000563,-0.016642716986812023,-0.01944866406307088,-0.03325606440293696,-0.024281241921027336
2013-06-10,-0.0170494624000563,-0.03447414924910374,-0.018709446041676736,-0.03325606440293696,-0.023800748879854536
2013-06-11,-0.0170494624000563,-0.03459928278901109,-0.018205544414435157,-0.03325606440293696,-0.023473182145619196
2013-06-12,-0.0170494624000563,-0.03404698947343798,-0.020533048802659003,-0.03325606440293696,-0.024986083059014515
2013-06-13,-0.0170494624000563,-0.034499217652946425,-0.020438906162181476,-0.03325606440293696,-0.024924887556615025
2013-06-14,-0.0170494624000563,-0.016511335216889952,-0.019488515953512912,-0.03325606440293696,-0.024307114763560598
2013-06-17,-0.0170494624000563,-0.01644606054597327,-0.019977297446392327,-0.03325606440293696,-0.02462476090565684
2013-06-18,-0.0170494624000563,-0.01647818085677582,-0.018921021690903997,-0.03325606440293696,-0.023937230755237036
2013-06-19,-0.0170494624000563,-0.01652611236071409,-0.01791471864963263,-0.03325606440293696,-0.02326989293470987
2013-06-20,-0.018592770815697785,-0.01730297776817851,-0.019419937876561016,-0.03325606440293696,-0.024195790143874643
2013-06-21,-0.018592770815697785,-0.03356456887991858,-0.03725233763073274,-0.03325606440293696,-0.03586184904190134
2013-06-24,-0.018592770815697785,-0.017394916205147874,-0.03334288190368356,-0.03325606440293696,-0.03331261690163309
2013-06-25,-0.017425793024882317,-0.03335318839301231,-0.034050388342576746,-0.03325606440293696,-0.033772622655847184
2013-06-26,-0.017425793024882317,-0.01682488636425366,-0.031079306937256142,-0.03325606440293696,-0.031841006562979716
2013-06-27,-0.017349736557441087,-0.01670939666160295,-0.028158876528346366,-0.03325606440293696,-0.02994278203930726
2013-06-28,-0.017349736557441087,-0.0167552172893808,-0.02490377148039794,-0.03325606440293696,-0.027827001099499794
2013-07-01,-0.017349736557441087,-0.016699914849834914,-0.023117616714817744,-0.03325606440293696,-0.026666016261708864
2013-07-02,-0.017349736557441087,-0.016718476669607733,-0.021575451116442428,-0.03325606440293696,-0.025663611726071716
2013-07-03,-0.017349736557441087,-0.016377766405814634,-0.019996965642532477,-0.03325606440293696,-0.024637600986936254
2013-07-05,-0.017349736557441087,-0.01636552778037452,-0.01843305490698487,-0.03325606440293696,-0.023621057793019845
2013-07-08,-0.017349736557441087,-0.016387167463418104,-0.017314349937683868,-0.03325606440293696,-0.022893899925557314
2013-07-09,-0.017349736557441087,-0.016331019296695,-0.016553179605328795,-0.03325606440293696,-0.02239912809004378
2013-07-10,-0.017349736557441087,-0.01632513693482468,-0.01610291062989594,-0.03325606440293696,-0.022106437414923477
2013-07-11,-0.017349736557441087,-0.016380958841827983,-0.015385308678996115,-0.03325606440293696,-0.021639898751572375
2013-07-12,-0.017349736557441087,-0.0163777531300612,-0.015538978884570918,-0.03325606440293696,-0.021739857297130617
2013-07-15,-0.017349736557441087,-0.016361044079282835,-0.015096116497831836,-0.03325606440293696,-0.021452025207764017
2013-07-16,-0.017349736557441087,-0.033864141528611176,-0.014691459354348287,-0.03325606440293696,-0.021189005602515687
2013-07-17,-0.017349736557441087,-0.016221811618511366,-0.014591033112413337,-0.03325606440293696,-0.021123734217202126
2013-07-18,-0.017349736557441087,-0.016214357008395647,-0.014392645687374727,-0.03325606440293696,-0.020994777639395144
2013-07-19,-0.017349736557441087,-0.01619463428987996,-0.014137720549771549,-0.03325606440293696,-0.020828967244751764
2013-07-22,-0.017349736557441087,-0.01618104464357126,-0.01736212120632222,-0.03325606440293696,-0.02292495019593556
2013-07-23,-0.017349736557441087,-0.03312610290691714,-0.016643645643443568,-0.03325606440293696,-0.022457973248325488
2013-07-24,-0.017349736557441087,-0.01621830547014206,-0.016724796706521983,-0.03325606440293696,-0.022510728083103122
2013-07-25,-0.017349736557441087,-0.016224328287981933,-0.016139734481656683,-0.03325606440293696,-0.02213044042981558
2013-07-26,-0.017349736557441087,-0.0162465447239953,-0.01565859668261714,-0.03325606440293696,-0.021817701175398583
2013-07-29,-0.017349736557441087,-0.016239155449349493,-0.015225228186221568,-0.03325606440293696,-0.021536009794881857
2013-07-30,-0.017349736557441087,-0.016259316322637805,-0.015250215354744114,-0.03325606440293696,-0.02155225268251662
2013-07-31,-0.017349736557441087,-0.016152682235491964,-0.01483717178716196,-0.03325606440293696,-0.021283774332266255
2013-08-01,-0.017349736557441087,-0.016103847714892375,-0.014506285521480065,-0.03325606440293696,-0.02106869771145714
